rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,tournament,year,winner,loser,stroke_type_english,clip_name
5,11.0,0:09:25,14136.0,3,2,A,2,長球,,,2.0,9.0,488.0,646.0,1.0,9.0,743.0,328.0,,,,,9.0,517.0,638.0,8.0,611.0,366.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally5_ball11_Clear.mp4
9,8.0,0:10:57,16427.0,6,3,B,2,長球,,,2.0,3.0,511.0,324.0,1.0,8.0,493.0,622.0,,,,,9.0,534.0,328.0,8.0,592.0,576.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally9_ball8_Clear.mp4
9,12.0,0:11:01,16535.0,6,3,B,2,長球,,,2.0,9.0,528.0,327.0,1.0,8.0,515.0,620.0,,,,,9.0,555.0,319.0,8.0,595.0,571.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally9_ball12_Clear.mp4
9,18.0,0:11:07,16690.0,6,3,B,2,長球,,,2.0,3.0,506.0,325.0,1.0,6.0,485.0,619.0,,,,,9.0,549.0,322.0,8.0,613.0,572.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally9_ball18_Clear.mp4
9,22.0,0:11:11,16799.0,6,3,B,3,殺球,,,2.0,5.0,523.0,332.0,1.0,5.0,802.0,619.0,對手落地致勝,落地致勝,B,,9.0,530.0,326.0,8.0,600.0,570.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally9_ball22_Smash.mp4
11,8.0,00:12:06,18160.0,7,4,B,2,長球,,,2.0,3.0,521.0,324.0,1.0,3.0,482.0,642.0,,,,,3.0,520.0,325.0,8.0,613.0,576.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball8_Clear.mp4
11,19.0,0:12:16,18415.0,7,4,A,2,長球,,,2.0,9.0,494.0,636.0,1.0,9.0,725.0,322.0,,,,,4.0,485.0,633.0,8.0,621.0,365.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball19_Clear.mp4
11,20.0,0:12:17,18442.0,7,4,B,2,長球,1.0,,2.0,9.0,725.0,322.0,1.0,8.0,778.0,616.0,,,,,8.0,690.0,341.0,8.0,623.0,602.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball20_Clear.mp4
11,25.0,0:12:22,18560.0,7,4,A,2,長球,,,2.0,6.0,471.0,625.0,1.0,3.0,526.0,316.0,,,,,9.0,545.0,643.0,8.0,619.0,366.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball25_Clear.mp4
11,26.0,0:12:23,18592.0,7,4,B,2,長球,,,2.0,3.0,526.0,316.0,1.0,6.0,467.0,629.0,,,,,8.0,526.0,332.0,8.0,611.0,581.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball26_Clear.mp4
11,30.0,0:12:28,18716.0,7,4,B,2,長球,1.0,,2.0,9.0,744.0,324.0,1.0,6.0,475.0,629.0,,,,,9.0,743.0,327.0,8.0,668.0,572.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball30_Clear.mp4
11,31.0,0:12:29,18746.0,7,4,A,2,長球,,,2.0,6.0,475.0,629.0,1.0,5.0,524.0,334.0,,,,,8.0,550.0,626.0,8.0,640.0,357.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball31_Clear.mp4
11,35.0,0:12:34,18854.0,7,4,A,2,長球,,,2.0,4.0,462.0,634.0,1.0,3.0,503.0,326.0,,,,,9.0,569.0,638.0,8.0,640.0,372.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball35_Clear.mp4
11,36.0,0:12:35,18888.0,7,4,B,2,長球,,,2.0,3.0,503.0,326.0,1.0,4.0,482.0,639.0,,,,,5.0,506.0,330.0,8.0,614.0,577.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball36_Clear.mp4
11,37.0,0:12:37,18925.0,7,4,A,2,長球,,,2.0,4.0,482.0,639.0,1.0,5.0,522.0,334.0,,,,,4.0,471.0,646.0,8.0,592.0,354.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball37_Clear.mp4
11,38.0,0:12:38,18962.0,7,4,B,2,長球,,,2.0,5.0,522.0,334.0,1.0,4.0,468.0,649.0,,,,,9.0,536.0,328.0,8.0,611.0,578.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball38_Clear.mp4
11,39.0,0:12:39,18990.0,7,4,A,2,長球,,,2.0,4.0,468.0,649.0,1.0,3.0,510.0,319.0,,,,,9.0,530.0,638.0,8.0,619.0,346.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball39_Clear.mp4
11,40.0,0:12:41,19025.0,7,4,B,2,長球,,,2.0,3.0,510.0,319.0,1.0,4.0,444.0,638.0,,,,,9.0,528.0,328.0,8.0,596.0,577.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally11_ball40_Clear.mp4
12,3.0,0:13:04,19619.0,7,5,B,2,長球,,,2.0,3.0,524.0,321.0,1.0,8.0,508.0,621.0,,,,,8.0,566.0,329.0,8.0,620.0,569.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball3_Clear.mp4
12,7.0,0:13:08,19724.0,7,5,B,2,長球,,1.0,2.0,9.0,730.0,324.0,1.0,9.0,519.0,643.0,,,,,8.0,685.0,338.0,8.0,686.0,568.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball7_Clear.mp4
12,15.0,0:13:17,19930.0,7,5,B,2,長球,,,2.0,3.0,511.0,324.0,1.0,4.0,479.0,634.0,,,,,9.0,541.0,328.0,8.0,628.0,573.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball15_Clear.mp4
12,16.0,0:13:18,19969.0,7,5,A,2,長球,,,2.0,4.0,479.0,634.0,1.0,9.0,739.0,323.0,,,,,4.0,455.0,646.0,8.0,609.0,359.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball16_Clear.mp4
12,20.0,0:13:22,20069.0,7,5,A,2,長球,,,2.0,4.0,475.0,643.0,1.0,3.0,517.0,325.0,,,,,9.0,557.0,631.0,8.0,625.0,363.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball20_Clear.mp4
12,21.0,0:13:24,20100.0,7,5,B,2,長球,,,2.0,3.0,517.0,325.0,1.0,3.0,835.0,638.0,,,,,5.0,519.0,334.0,8.0,608.0,583.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball21_Clear.mp4
12,22.0,0:13:25,20131.0,7,5,A,2,長球,1.0,,2.0,3.0,835.0,638.0,1.0,4.0,787.0,321.0,,,,,9.0,795.0,649.0,8.0,646.0,354.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally12_ball22_Clear.mp4
13,3.0,0:14:02,21054.0,7,6,B,2,長球,,1.0,2.0,9.0,751.0,319.0,1.0,8.0,741.0,627.0,,,,,8.0,712.0,330.0,8.0,688.0,561.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball3_Clear.mp4
13,6.0,0:14:05,21135.0,7,6,A,2,殺球,,,1.0,9.0,489.0,638.0,2.0,8.0,614.0,351.0,,,,,9.0,526.0,642.0,8.0,605.0,358.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally13_ball6_Smash.mp4
13,9.0,0:14:08,21202.0,7,6,B,2,長球,1.0,,2.0,9.0,752.0,327.0,1.0,8.0,793.0,618.0,,,,,9.0,754.0,328.0,8.0,667.0,574.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball9_Clear.mp4
13,16.0,0:14:15,21394.0,7,6,A,2,長球,1.0,,2.0,9.0,798.0,637.0,1.0,3.0,497.0,317.0,,,,,9.0,723.0,644.0,8.0,666.0,364.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball16_Clear.mp4
13,19.0,0:14:19,21484.0,7,6,B,2,長球,,,2.0,3.0,516.0,325.0,1.0,6.0,456.0,625.0,,,,,8.0,567.0,329.0,8.0,594.0,565.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball19_Clear.mp4
13,20.0,0:14:20,21515.0,7,6,A,2,長球,,,2.0,6.0,456.0,625.0,1.0,3.0,505.0,316.0,,,,,4.0,478.0,641.0,8.0,601.0,350.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball20_Clear.mp4
13,21.0,0:14:22,21550.0,7,6,B,2,長球,,,2.0,3.0,505.0,316.0,1.0,4.0,470.0,651.0,,,,,9.0,538.0,327.0,8.0,595.0,583.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball21_Clear.mp4
13,22.0,0:14:23,21585.0,7,6,A,2,長球,,,2.0,4.0,470.0,651.0,1.0,3.0,519.0,327.0,,,,,9.0,523.0,645.0,8.0,594.0,352.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball22_Clear.mp4
13,33.0,0:14:36,21912.0,7,6,B,2,殺球,,,1.0,3.0,524.0,321.0,2.0,8.0,786.0,555.0,,,,,5.0,516.0,334.0,8.0,643.0,593.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally13_ball33_Smash.mp4
13,36.0,0:14:39,21983.0,7,6,A,2,長球,1.0,,2.0,3.0,810.0,632.0,1.0,9.0,755.0,323.0,,,,,9.0,801.0,640.0,8.0,703.0,362.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball36_Clear.mp4
13,37.0,0:14:40,22017.0,7,6,B,2,長球,1.0,,2.0,9.0,755.0,323.0,1.0,4.0,452.0,637.0,,,,,6.0,771.0,335.0,8.0,703.0,592.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball37_Clear.mp4
13,38.0,0:14:41,22048.0,7,6,A,2,長球,,,2.0,4.0,452.0,637.0,1.0,3.0,503.0,328.0,,,,,9.0,524.0,638.0,8.0,643.0,347.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally13_ball38_Clear.mp4
13,39.0,0:14:43,22080.0,7,6,B,3,殺球,,,2.0,3.0,503.0,328.0,1.0,4.0,389.0,651.0,對手落地致勝,落地致勝,B,,8.0,530.0,339.0,8.0,604.0,583.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally13_ball39_Smash.mp4
14,5.0,0:15:26,23166.0,8,6,B,2,殺球,,,1.0,9.0,563.0,322.0,2.0,8.0,581.0,565.0,,,,,8.0,580.0,330.0,8.0,605.0,573.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally14_ball5_Smash.mp4
14,8.0,0:15:28,23224.0,8,6,A,2,長球,,1.0,2.0,8.0,781.0,621.0,1.0,9.0,544.0,326.0,,,,,8.0,751.0,602.0,8.0,687.0,363.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally14_ball8_Clear.mp4
14,9.0,0:15:30,23254.0,8,6,B,2,長球,,,2.0,9.0,544.0,326.0,1.0,4.0,466.0,646.0,,,,,8.0,605.0,337.0,8.0,640.0,586.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally14_ball9_Clear.mp4
14,13.0,0:15:35,23378.0,8,6,B,2,長球,,,2.0,3.0,508.0,325.0,1.0,4.0,453.0,631.0,,,,,9.0,550.0,323.0,8.0,594.0,565.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally14_ball13_Clear.mp4
15,3.0,0:15:55,23890.0,9,6,A,2,長球,,,2.0,9.0,506.0,637.0,1.0,3.0,521.0,324.0,,,,,8.0,576.0,623.0,8.0,621.0,369.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally15_ball3_Clear.mp4
15,4.0,0:15:56,23917.0,9,6,B,2,長球,,,2.0,3.0,521.0,324.0,1.0,4.0,473.0,643.0,,,,,8.0,563.0,344.0,8.0,622.0,596.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally15_ball4_Clear.mp4
15,8.0,0:16:01,24043.0,9,6,B,2,長球,,,2.0,3.0,501.0,322.0,1.0,9.0,778.0,630.0,,,,,8.0,537.0,332.0,8.0,600.0,576.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally15_ball8_Clear.mp4
15,14.0,0:16:07,24197.0,9,6,B,2,殺球,,,1.0,3.0,519.0,327.0,2.0,6.0,465.0,568.0,,,,,8.0,560.0,333.0,8.0,604.0,583.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally15_ball14_Smash.mp4
15,18.0,0:16:12,24312.0,9,6,B,3,殺球,,,2.0,9.0,558.0,325.0,1.0,7.0,680.0,449.0,掛網,對手掛網,A,,8.0,556.0,335.0,8.0,587.0,593.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally15_ball18_Smash.mp4
16,8.0,0:16:46,25154.0,10,6,B,2,長球,1.0,,2.0,9.0,733.0,322.0,1.0,4.0,484.0,641.0,,,,,8.0,751.0,329.0,8.0,677.0,554.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball8_Clear.mp4
16,12.0,0:16:51,25280.0,10,6,B,2,長球,,,2.0,3.0,514.0,325.0,1.0,4.0,459.0,640.0,,,,,9.0,577.0,322.0,8.0,631.0,562.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball12_Clear.mp4
16,13.0,0:16:52,25320.0,10,6,A,2,長球,,,2.0,4.0,459.0,640.0,1.0,3.0,506.0,326.0,,,,,4.0,442.0,647.0,8.0,608.0,352.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball13_Clear.mp4
16,14.0,0:16:54,25352.0,10,6,B,2,長球,,,2.0,3.0,506.0,326.0,1.0,8.0,792.0,624.0,,,,,8.0,543.0,330.0,8.0,579.0,584.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball14_Clear.mp4
16,17.0,0:16:56,25424.0,10,6,A,2,長球,1.0,,2.0,3.0,823.0,630.0,1.0,9.0,571.0,317.0,,,,,3.0,827.0,629.0,8.0,692.0,355.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball17_Clear.mp4
16,22.0,0:17:02,25570.0,10,6,B,2,殺球,,,1.0,8.0,558.0,347.0,2.0,8.0,717.0,568.0,,,,,8.0,562.0,347.0,8.0,667.0,594.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally16_ball22_Smash.mp4
16,27.0,0:17:06,25668.0,10,6,A,2,長球,,1.0,2.0,8.0,780.0,615.0,1.0,8.0,718.0,331.0,,,,,8.0,754.0,629.0,8.0,663.0,372.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball27_Clear.mp4
16,28.0,0:17:07,25695.0,10,6,B,2,殺球,,,1.0,8.0,718.0,331.0,2.0,8.0,510.0,566.0,,,,,8.0,731.0,331.0,8.0,685.0,585.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Smash,01_set1_rally16_ball28_Smash.mp4
16,32.0,0:17:12,25804.0,10,6,B,2,長球,,,2.0,8.0,535.0,334.0,1.0,4.0,477.0,631.0,,,,,8.0,570.0,333.0,8.0,584.0,562.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally16_ball32_Clear.mp4
17,3.0,0:18:17,27440.0,10,7,A,2,長球,,,2.0,8.0,501.0,629.0,1.0,8.0,728.0,334.0,,,,,8.0,548.0,607.0,8.0,612.0,364.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally17_ball3_Clear.mp4
17,8.0,0:18:22,27560.0,10,7,B,2,長球,,,2.0,9.0,545.0,327.0,1.0,8.0,521.0,624.0,,,,,8.0,602.0,331.0,8.0,609.0,563.0,0,1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,1,Fuzhou Open 2019,2019,Kento MOMOTA,CHOU Tien Chen,Clear,01_set1_rally17_ball8_Clear.mp4
