rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,match_name,set_num,stroke_type_english,clip_name
7,6.0,00:06:05,10941.0,5,2,B,2,挑球,,,2.0,2.0,817.0,452.0,1.0,9.0,519.0,249.0,,,,,7.0,758.0,467.0,8.0,677.0,304.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally7_ball6_Lift.mp4
7,8.0,00:06:07,11021.0,5,2,B,2,殺球,,,1.0,3.0,429.0,616.0,2.0,5.0,429.0,299.0,,,,,9.0,484.0,606.0,8.0,578.0,287.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally7_ball8_Smash.mp4
7,12.0,00:06:11,11125.0,5,2,B,2,殺球,,,1.0,9.0,448.0,620.0,2.0,6.0,817.0,294.0,,,,,8.0,520.0,583.0,8.0,608.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally7_ball12_Smash.mp4
8,7.0,00:06:35,11840.0,6,2,B,2,挑球,,,2.0,7.0,666.0,415.0,1.0,9.0,705.0,248.0,,,,,7.0,638.0,433.0,7.0,628.0,343.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally8_ball7_Lift.mp4
9,6.0,00:06:57,12520.0,6,3,B,2,挑球,,,2.0,2.0,866.0,431.0,1.0,4.0,796.0,257.0,,,,,2.0,826.0,437.0,8.0,729.0,322.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally9_ball6_Lift.mp4
9,7.0,00:06:59,12573.0,6,3,A,2,殺球,,,1.0,4.0,796.0,257.0,2.0,8.0,475.0,525.0,,,,,4.0,790.0,261.0,8.0,646.0,523.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally9_ball7_Smash.mp4
9,9.0,00:07:01,12619.0,6,3,A,2,挑球,,,2.0,1.0,453.0,351.0,1.0,3.0,354.0,611.0,,,,,8.0,515.0,333.0,8.0,557.0,520.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally9_ball9_Lift.mp4
9,12.0,00:07:03,12707.0,6,3,B,2,殺球,,,1.0,3.0,402.0,597.0,2.0,8.0,549.0,290.0,,,,,8.0,478.0,583.0,8.0,545.0,288.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally9_ball12_Smash.mp4
9,14.0,00:07:05,12753.0,6,3,B,2,挑球,,,2.0,6.0,895.0,480.0,1.0,6.0,865.0,268.0,,,,,8.0,800.0,493.0,8.0,671.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally9_ball14_Lift.mp4
9,15.0,00:07:06,12784.0,6,3,A,2,殺球,,,1.0,6.0,865.0,268.0,2.0,8.0,729.0,544.0,,,,,6.0,788.0,283.0,8.0,759.0,531.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally9_ball15_Smash.mp4
10,2.0,00:07:29,13457.0,6,4,A,2,挑球,,,2.0,7.0,705.0,353.0,1.0,3.0,429.0,608.0,,,,,8.0,713.0,328.0,8.0,648.0,521.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally10_ball2_Lift.mp4
10,12.0,00:07:38,13756.0,6,4,A,2,挑球,,,2.0,1.0,379.0,371.0,1.0,3.0,438.0,613.0,,,,,1.0,425.0,366.0,7.0,503.0,457.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally10_ball12_Lift.mp4
10,15.0,00:07:43,13879.0,6,4,B,3,殺球,,,1.0,4.0,871.0,608.0,2.0,5.0,416.0,283.0,對手落地致勝,落地致勝,B,,8.0,774.0,568.0,8.0,727.0,272.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally10_ball15_Smash.mp4
11,5.0,00:08:12,14763.0,7,4,B,2,殺球,,,1.0,8.0,485.0,591.0,2.0,8.0,510.0,298.0,,,,,8.0,599.0,576.0,8.0,606.0,306.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally11_ball5_Smash.mp4
11,11.0,00:08:18,14929.0,7,4,B,2,挑球,,,2.0,2.0,873.0,455.0,1.0,4.0,793.0,257.0,,,,,2.0,807.0,461.0,8.0,716.0,313.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally11_ball11_Lift.mp4
14,6.0,00:09:21,16818.0,9,5,B,2,殺球,,,1.0,3.0,415.0,612.0,2.0,6.0,799.0,299.0,,,,,8.0,494.0,575.0,8.0,557.0,306.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally14_ball6_Smash.mp4
14,11.0,00:09:26,16983.0,9,5,A,2,殺球,,,1.0,6.0,795.0,264.0,2.0,5.0,433.0,537.0,,,,,8.0,731.0,276.0,8.0,684.0,556.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally14_ball11_Smash.mp4
14,15.0,00:09:31,17127.0,9,5,A,2,殺球,,,1.0,8.0,632.0,265.0,2.0,6.0,848.0,524.0,,,,,8.0,636.0,265.0,8.0,698.0,520.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally14_ball15_Smash.mp4
14,18.0,00:09:34,17206.0,9,5,B,2,挑球,,,2.0,2.0,862.0,445.0,1.0,9.0,765.0,261.0,,,,,2.0,831.0,466.0,8.0,707.0,279.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally14_ball18_Lift.mp4
15,4.0,00:10:02,18042.0,9,6,B,2,殺球,,,1.0,5.0,435.0,581.0,2.0,5.0,423.0,294.0,,,,,8.0,530.0,570.0,8.0,528.0,301.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally15_ball4_Smash.mp4
15,8.0,00:10:05,18143.0,9,6,B,2,殺球,,,1.0,8.0,462.0,582.0,2.0,8.0,751.0,302.0,,,,,8.0,467.0,572.0,8.0,522.0,292.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally15_ball8_Smash.mp4
15,11.0,00:10:08,18225.0,9,6,A,3,殺球,,,1.0,3.0,485.0,258.0,2.0,1.0,426.0,392.0,掛網,對手掛網,B,,9.0,521.0,255.0,8.0,676.0,507.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally15_ball11_Smash.mp4
17,3.0,00:10:45,19339.0,10,7,B,2,挑球,,,2.0,2.0,872.0,452.0,1.0,4.0,821.0,256.0,,,,,2.0,816.0,462.0,8.0,703.0,324.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally17_ball3_Lift.mp4
17,5.0,00:10:47,19402.0,10,7,B,2,殺球,,,2.0,4.0,872.0,613.0,2.0,6.0,818.0,288.0,,,,,9.0,824.0,612.0,8.0,657.0,275.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally17_ball5_Smash.mp4
17,9.0,00:10:50,19492.0,10,7,B,2,挑球,,,2.0,7.0,751.0,406.0,1.0,9.0,559.0,253.0,,,,,7.0,713.0,437.0,8.0,660.0,336.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally17_ball9_Lift.mp4
17,10.0,00:10:52,19543.0,10,7,A,2,殺球,,,1.0,9.0,559.0,253.0,2.0,5.0,384.0,531.0,,,,,9.0,579.0,259.0,8.0,661.0,512.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally17_ball10_Smash.mp4
18,4.0,00:11:11,20133.0,10,8,B,2,殺球,,,1.0,8.0,595.0,532.0,2.0,8.0,671.0,321.0,,,,,8.0,671.0,523.0,8.0,717.0,332.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally18_ball4_Smash.mp4
20,9.0,00:11:52,21353.0,11,9,B,2,挑球,,,2.0,2.0,895.0,457.0,1.0,4.0,787.0,258.0,,,,,2.0,834.0,466.0,8.0,696.0,307.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally20_ball9_Lift.mp4
21,10.0,00:13:16,23859.0,11,10,B,2,殺球,,,1.0,5.0,407.0,577.0,2.0,5.0,460.0,291.0,,,,,8.0,557.0,560.0,8.0,570.0,292.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally21_ball10_Smash.mp4
21,12.0,00:13:17,23906.0,11,10,B,2,挑球,,,2.0,2.0,847.0,454.0,1.0,4.0,802.0,251.0,,,,,7.0,797.0,466.0,8.0,601.0,284.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally21_ball12_Lift.mp4
22,3.0,00:13:39,24550.0,12,10,B,2,殺球,,,1.0,8.0,466.0,577.0,2.0,5.0,423.0,287.0,,,,,8.0,608.0,557.0,8.0,582.0,306.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally22_ball3_Smash.mp4
23,9.0,00:14:20,25777.0,13,10,A,2,挑球,,,2.0,7.0,566.0,375.0,1.0,3.0,399.0,608.0,,,,,7.0,570.0,360.0,7.0,601.0,460.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally23_ball9_Lift.mp4
24,4.0,00:14:39,26345.0,14,10,B,3,挑球,,,1.0,1.0,424.0,455.0,2.0,7.0,520.0,416.0,掛網,對手掛網,A,,1.0,432.0,471.0,8.0,498.0,268.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally24_ball4_Lift.mp4
25,8.0,00:15:00,26988.0,15,10,B,2,挑球,,,2.0,2.0,841.0,417.0,1.0,9.0,586.0,255.0,,,,,2.0,818.0,436.0,8.0,735.0,337.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally25_ball8_Lift.mp4
27,5.0,00:15:57,28704.0,16,11,B,2,挑球,,,2.0,7.0,802.0,455.0,1.0,9.0,751.0,260.0,,,,,7.0,739.0,472.0,8.0,683.0,315.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally27_ball5_Lift.mp4
27,6.0,00:15:58,28734.0,16,11,A,3,殺球,,,1.0,9.0,751.0,260.0,2.0,5.0,357.0,536.0,對手落地致勝,落地致勝,A,,8.0,754.0,263.0,8.0,720.0,510.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally27_ball6_Smash.mp4
29,4.0,00:16:33,29767.0,17,12,B,2,殺球,,,1.0,6.0,925.0,589.0,2.0,6.0,857.0,283.0,,,,,6.0,901.0,589.0,8.0,721.0,288.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally29_ball4_Smash.mp4
30,4.0,00:16:54,30399.0,17,13,A,2,挑球,,,2.0,1.0,433.0,373.0,1.0,4.0,947.0,603.0,,,,,7.0,480.0,368.0,7.0,544.0,460.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally30_ball4_Lift.mp4
31,5.0,00:17:28,31412.0,17,14,B,2,挑球,,,2.0,6.0,855.0,482.0,1.0,9.0,510.0,256.0,,,,,6.0,814.0,488.0,8.0,728.0,274.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally31_ball5_Lift.mp4
31,21.0,00:17:43,31862.0,17,14,B,2,殺球,,,1.0,6.0,923.0,576.0,2.0,6.0,833.0,271.0,,,,,8.0,775.0,554.0,8.0,747.0,305.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally31_ball21_Smash.mp4
33,7.0,00:18:36,33464.0,18,15,A,2,殺球,,,1.0,3.0,486.0,255.0,2.0,8.0,605.0,515.0,,,,,9.0,513.0,251.0,8.0,627.0,495.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally33_ball7_Smash.mp4
33,10.0,00:18:38,33532.0,18,15,B,2,挑球,,,2.0,7.0,675.0,437.0,1.0,9.0,498.0,256.0,,,,,7.0,665.0,448.0,8.0,644.0,324.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally33_ball10_Lift.mp4
34,5.0,00:19:04,34286.0,18,16,B,3,殺球,,,1.0,5.0,416.0,555.0,2.0,5.0,396.0,269.0,對手落地致勝,落地致勝,B,,8.0,513.0,548.0,8.0,518.0,290.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally34_ball5_Smash.mp4
36,3.0,00:19:40,35391.0,19,17,B,2,挑球,,,2.0,7.0,696.0,422.0,1.0,9.0,501.0,246.0,,,,,7.0,659.0,441.0,8.0,678.0,331.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Lift,01_set1_rally36_ball3_Lift.mp4
36,4.0,00:19:42,35444.0,19,17,A,2,殺球,,,1.0,9.0,501.0,246.0,2.0,5.0,420.0,526.0,,,,,9.0,496.0,249.0,8.0,628.0,502.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally36_ball4_Smash.mp4
38,3.0,00:20:55,37626.0,20,18,B,3,殺球,,,1.0,5.0,422.0,586.0,2.0,15.0,370.0,283.0,出界,對手出界,A,,9.0,451.0,598.0,8.0,542.0,294.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,1,Smash,01_set1_rally38_ball3_Smash.mp4
1,6.0,00:23:39,42545.0,0,1,B,2,挑球,,,2.0,1.0,427.0,350.0,1.0,5.0,393.0,589.0,,,,,1.0,462.0,362.0,8.0,505.0,475.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally1_ball6_Lift.mp4
1,9.0,00:23:42,42637.0,0,1,A,3,挑球,,,2.0,7.0,785.0,466.0,2.0,13.0,804.0,232.0,出界,對手出界,B,,7.0,790.0,456.0,8.0,743.0,304.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally1_ball9_Lift.mp4
3,8.0,00:24:17,43692.0,0,3,A,2,挑球,,,2.0,2.0,880.0,417.0,1.0,4.0,819.0,261.0,,,,,2.0,805.0,431.0,7.0,713.0,345.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally3_ball8_Lift.mp4
3,10.0,00:24:20,43780.0,0,3,A,2,挑球,,,2.0,5.0,420.0,474.0,1.0,9.0,737.0,259.0,,,,,8.0,471.0,489.0,8.0,768.0,272.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally3_ball10_Lift.mp4
3,13.0,00:24:24,43889.0,0,3,B,3,殺球,,,1.0,4.0,826.0,253.0,2.0,6.0,932.0,554.0,對手落地致勝,落地致勝,B,,8.0,723.0,274.0,8.0,730.0,561.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally3_ball13_Smash.mp4
4,12.0,00:24:48,44623.0,0,4,A,2,挑球,,,2.0,2.0,885.0,432.0,1.0,9.0,543.0,252.0,,,,,2.0,828.0,450.0,8.0,715.0,316.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally4_ball12_Lift.mp4
4,16.0,00:24:53,44768.0,0,4,A,2,殺球,,,1.0,4.0,899.0,613.0,2.0,5.0,474.0,300.0,,,,,4.0,857.0,595.0,8.0,634.0,299.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally4_ball16_Smash.mp4
7,3.0,00:26:03,46848.0,2,5,A,2,殺球,,,1.0,8.0,499.0,555.0,2.0,5.0,430.0,298.0,,,,,8.0,515.0,547.0,8.0,542.0,298.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally7_ball3_Smash.mp4
9,13.0,00:26:46,48154.0,3,6,B,3,殺球,,,1.0,4.0,847.0,247.0,2.0,11.0,969.0,527.0,出界,對手出界,A,,8.0,741.0,264.0,8.0,709.0,526.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally9_ball13_Smash.mp4
13,4.0,00:28:09,50639.0,5,8,B,2,殺球,,,1.0,9.0,548.0,257.0,2.0,5.0,412.0,523.0,,,,,8.0,518.0,262.0,8.0,620.0,529.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally13_ball4_Smash.mp4
13,7.0,00:28:12,50718.0,5,8,A,2,殺球,,,1.0,8.0,791.0,589.0,2.0,8.0,642.0,293.0,,,,,8.0,746.0,589.0,8.0,596.0,284.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally13_ball7_Smash.mp4
14,4.0,00:29:28,52992.0,6,8,A,3,殺球,,,1.0,8.0,531.0,584.0,2.0,3.0,396.0,250.0,對手落地致勝,落地致勝,A,,8.0,586.0,567.0,8.0,614.0,312.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally14_ball4_Smash.mp4
15,5.0,00:30:01,54003.0,7,8,A,2,殺球,,,1.0,5.0,443.0,549.0,2.0,8.0,718.0,292.0,,,,,5.0,451.0,548.0,8.0,546.0,269.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally15_ball5_Smash.mp4
16,7.0,00:30:30,54868.0,7,9,A,2,殺球,,,1.0,4.0,916.0,605.0,2.0,6.0,828.0,275.0,,,,,8.0,815.0,587.0,8.0,656.0,306.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally16_ball7_Smash.mp4
16,10.0,00:30:33,54944.0,7,9,B,2,挑球,,,2.0,1.0,422.0,351.0,1.0,9.0,778.0,606.0,,,,,1.0,458.0,340.0,8.0,565.0,494.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally16_ball10_Lift.mp4
16,11.0,00:30:34,54980.0,7,9,A,3,殺球,,,1.0,9.0,778.0,606.0,2.0,6.0,871.0,273.0,出界,對手出界,B,,8.0,672.0,587.0,8.0,583.0,303.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally16_ball11_Smash.mp4
17,3.0,00:30:52,55533.0,8,9,B,2,挑球,,,2.0,1.0,443.0,371.0,1.0,6.0,830.0,522.0,,,,,7.0,487.0,365.0,7.0,525.0,455.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally17_ball3_Lift.mp4
17,4.0,00:30:54,55589.0,8,9,A,3,殺球,,,1.0,6.0,830.0,522.0,2.0,8.0,493.0,277.0,對手落地致勝,落地致勝,A,,8.0,777.0,524.0,8.0,677.0,291.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally17_ball4_Smash.mp4
18,5.0,00:31:24,56478.0,8,10,A,2,挑球,,,2.0,2.0,886.0,425.0,1.0,4.0,790.0,255.0,,,,,2.0,828.0,440.0,8.0,721.0,334.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally18_ball5_Lift.mp4
18,6.0,00:31:26,56531.0,8,10,B,3,殺球,,,1.0,4.0,790.0,255.0,2.0,5.0,350.0,520.0,對手落地致勝,落地致勝,B,,9.0,753.0,254.0,8.0,694.0,517.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally18_ball6_Smash.mp4
20,4.0,00:32:01,57581.0,10,10,B,2,挑球,,,2.0,1.0,427.0,373.0,1.0,9.0,494.0,596.0,,,,,7.0,503.0,353.0,8.0,508.0,477.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally20_ball4_Lift.mp4
21,4.0,00:32:19,58138.0,10,11,B,2,挑球,,,2.0,1.0,446.0,343.0,1.0,3.0,381.0,594.0,,,,,8.0,494.0,334.0,8.0,606.0,495.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally21_ball4_Lift.mp4
26,3.0,00:34:55,62798.0,13,13,A,3,殺球,,,1.0,5.0,431.0,543.0,2.0,6.0,774.0,284.0,對手落地致勝,落地致勝,A,,8.0,500.0,533.0,8.0,520.0,309.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Smash,01_set2_rally26_ball3_Smash.mp4
27,7.0,00:35:13,63351.0,14,13,A,2,挑球,,,2.0,2.0,816.0,440.0,1.0,9.0,550.0,240.0,,,,,7.0,777.0,444.0,8.0,641.0,316.0,0,1,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,2,Lift,01_set2_rally27_ball7_Lift.mp4
